network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,gate_A,gate_B,rule_A,rule_B,Number of Attractors,Number of Fixed Points,Number of Limit Cycles,Avg Attractor Length,Max Attractor Length,Attractor Coverage,Avg Basin Size,Max Basin Size,Basin Size Variance,Basin Size Skewness,Average Transient Length,Maximum Transient Length,Transient Length Variance,Transient Length Skewness,Garden of Eden Count,Common Sea Count,Specific Part Count,Avg Pre-image Count,Max Pre-image Count,Avg Hamming Distance per Transition,Average Sensitivity,Derrida Coefficient,Attractor Components,Attractor_Type
24,4,4,13,"A⊣A,B⊣A",AA,AND,AND,A' = !A & !B,B' = 1,1,1,0,1.0,1,1.0,4.0,4,0.0,0.0,1.0,2,0.5,0.0,2,2,0,1.0,3,1.25,0.5,0.375,01,Stable Fixed-point
25,4,4,13,"A⊣A,B⊣A",AO,AND,OR,A' = !A & !B,B' = 0,1,0,1,2.0,2,1.0,4.0,4,0.0,0.0,0.5,1,0.25,0.0,2,1,1,1.0,3,1.25,0.5,0.375,"[00,10]",Pure Oscillatory
26,4,4,13,"A⊣A,B⊣A",OA,OR,AND,A' = !A | !B,B' = 1,1,0,1,2.0,2,1.0,4.0,4,0.0,0.0,0.5,1,0.25,0.0,2,1,1,1.0,3,1.25,0.5,0.375,"[01,11]",Pure Oscillatory
27,4,4,13,"A⊣A,B⊣A",OO,OR,OR,A' = !A | !B,B' = 0,1,1,0,1.0,1,1.0,4.0,4,0.0,0.0,1.0,2,0.5,0.0,2,2,0,1.0,3,1.25,0.5,0.375,10,Stable Fixed-point
28,5,1,14,"A→A,A→B,B→A",AA,AND,AND,A' = A & B,B' = A,2,2,0,1.0,1,1.0,2.0,3,1.0,0.0,0.75,2,0.6875,0.4933822002181585,1,0,2,1.0,2,0.75,1.0,0.875,00; 11,Complex Composite
29,5,1,14,"A→A,A→B,B→A",OA,AND,OR,A' = A | B,B' = A,2,2,0,1.0,1,1.0,2.0,3,1.0,0.0,0.75,2,0.6875,0.4933822002181586,1,0,2,1.0,2,0.75,1.0,0.875,00; 11,Complex Composite
30,5,2,15,"A→A,A→B,B⊣A",AA,AND,AND,A' = A & !B,B' = A,1,1,0,1.0,1,1.0,4.0,4,0.0,0.0,1.5,3,1.25,0.0,1,2,0,1.0,2,0.75,1.0,0.875,00,Stable Fixed-point
31,5,2,15,"A→A,A→B,B⊣A",OA,AND,OR,A' = A | !B,B' = A,1,1,0,1.0,1,1.0,4.0,4,0.0,0.0,1.5,3,1.25,0.0,1,2,0,1.0,2,0.75,1.0,0.875,11,Stable Fixed-point
32,5,3,16,"A→A,A⊣B,B→A",AA,AND,AND,A' = A & B,B' = !A,1,1,0,1.0,1,1.0,4.0,4,0.0,0.0,1.5,3,1.25,0.0,1,2,0,1.0,2,0.75,1.0,0.875,01,Stable Fixed-point
33,5,3,16,"A→A,A⊣B,B→A",OA,AND,OR,A' = A | B,B' = !A,1,1,0,1.0,1,1.0,4.0,4,0.0,0.0,1.5,3,1.25,0.0,1,2,0,1.0,2,0.75,1.0,0.875,10,Stable Fixed-point
