network_id,Cluster,PCA_1,PCA_2,TSNE_1,TSNE_2,UMAP_1,UMAP_2
1,Cluster_3,-3.2556512257018637,1.3981286150753445,-46.139107,345.6104,9.771749,-11.701836
2,Cluster_3,-3.255651225701865,1.3981286150753398,-46.139107,345.6104,9.652341,-11.773088
3,Cluster_3,-3.2556512257018677,1.3981286150753438,-46.139107,345.6104,9.80279,-11.321294
4,Cluster_3,-3.255651225701869,1.3981286150753374,-46.139107,345.6104,9.903753,-11.769775
5,Cluster_4,3.022364347688095,-2.0121644257163034,27.07048,-495.78812,22.959076,10.938917
6,Cluster_2,1.1738044474530565,-4.184428660796984,-297.81912,-425.18515,5.7037044,8.532579
7,Cluster_4,3.022364347688096,-2.0121644257163034,27.07048,-495.78812,22.813675,10.713043
8,Cluster_4,1.3135516436905232,-1.3602468890171657,125.4283,-274.46622,23.347034,10.5780525
9,Cluster_4,1.313551643690522,-1.3602468890171644,125.4283,-274.46622,23.22085,10.573254
10,Cluster_2,0.16161785288676836,-2.7259651794618573,-189.71162,-194.03459,14.846572,-8.770175
11,Cluster_2,0.16161785288676978,-2.7259651794618587,-189.71162,-194.03459,14.645633,-8.667618
12,Cluster_1,1.0244140330741107,4.375887441648495,374.74255,240.22229,5.3198333,30.14659
13,Cluster_3,-3.4365439980723846,2.0144049919872864,2.7880707,485.37,9.557325,-11.355533
14,Cluster_3,-3.4365439980723846,2.0144049919872864,2.7880707,485.37,9.541408,-11.470523
15,Cluster_1,1.0244140330741096,4.375887441648496,374.74255,240.22229,5.3501306,29.962673
16,Cluster_3,-3.436543998072385,2.0144049919872864,2.7880707,485.37,9.375548,-11.667879
17,Cluster_1,1.0244140330741118,4.375887441648493,374.74255,240.22229,5.4264655,30.016731
18,Cluster_1,1.0244140330741114,4.375887441648494,374.74255,240.22229,5.4092607,30.097004
19,Cluster_3,-3.4365439980723846,2.014404991987287,2.7880707,485.37,10.109319,-11.387555
20,Cluster_3,-2.3838968381819354,0.46433993924160005,-172.24632,496.65424,8.991391,-11.237658
21,Cluster_3,-3.5348452953114005,1.8265455370977866,88.2113,390.57077,9.499847,-11.006926
22,Cluster_3,-3.5348452953114005,1.8265455370977866,88.2113,390.57077,9.101419,-11.654834
23,Cluster_3,-2.3838968381819354,0.4643399392416,-172.24632,496.65424,8.915962,-11.212362
24,Cluster_3,-3.5348452953114005,1.8265455370977866,88.2113,390.57077,9.325797,-11.088353
25,Cluster_3,-2.3838968381819354,0.4643399392416,-172.24632,496.65424,9.01654,-11.036657
26,Cluster_3,-2.3838968381819354,0.4643399392416,-172.24632,496.65424,8.801895,-11.352946
27,Cluster_3,-3.5348452953114005,1.8265455370977866,88.2113,390.57077,9.180526,-11.504464
28,Cluster_1,2.9705713333748767,1.8263997008651431,438.81204,-70.20749,4.478158,30.302967
29,Cluster_1,2.970571333374877,1.8263997008651436,438.81204,-70.20749,4.709108,30.419907
30,Cluster_3,-2.3669779157524684,-0.019932423184896006,-93.097084,135.18753,21.777018,3.125727
31,Cluster_3,-2.3669779157524684,-0.019932423184896006,-93.097084,135.18753,21.531363,2.8801894
32,Cluster_3,-2.3669779157524684,-0.019932423184896006,-93.097084,135.18753,21.365767,2.7144997
