network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,gate_A,gate_B,rule_A,rule_B,edge_AA,edge_AB,edge_BA,edge_BB,start_state,A_update_only,B_update_only
15,4,1,10,"A→A,B→A",OO,OR,OR,A' = A | B,B' = 0,1,0,1,0,11,11,10
16,4,2,11,"A→A,B⊣A",AA,AND,AND,A' = A & !B,B' = 1,1,0,-1,0,00,00,01
16,4,2,11,"A→A,B⊣A",AA,AND,AND,A' = A & !B,B' = 1,1,0,-1,0,01,01,01
16,4,2,11,"A→A,B⊣A",AA,AND,AND,A' = A & !B,B' = 1,1,0,-1,0,10,10,11
16,4,2,11,"A→A,B⊣A",AA,AND,AND,A' = A & !B,B' = 1,1,0,-1,0,11,01,11
17,4,2,11,"A→A,B⊣A",AO,AND,OR,A' = A & !B,B' = 0,1,0,-1,0,00,00,00
17,4,2,11,"A→A,B⊣A",AO,AND,OR,A' = A & !B,B' = 0,1,0,-1,0,01,01,00
17,4,2,11,"A→A,B⊣A",AO,AND,OR,A' = A & !B,B' = 0,1,0,-1,0,10,10,10
17,4,2,11,"A→A,B⊣A",AO,AND,OR,A' = A & !B,B' = 0,1,0,-1,0,11,01,10
18,4,2,11,"A→A,B⊣A",OA,OR,AND,A' = A | !B,B' = 1,1,0,-1,0,00,10,01
18,4,2,11,"A→A,B⊣A",OA,OR,AND,A' = A | !B,B' = 1,1,0,-1,0,01,01,01
18,4,2,11,"A→A,B⊣A",OA,OR,AND,A' = A | !B,B' = 1,1,0,-1,0,10,10,11
18,4,2,11,"A→A,B⊣A",OA,OR,AND,A' = A | !B,B' = 1,1,0,-1,0,11,11,11
19,4,2,11,"A→A,B⊣A",OO,OR,OR,A' = A | !B,B' = 0,1,0,-1,0,00,10,00
19,4,2,11,"A→A,B⊣A",OO,OR,OR,A' = A | !B,B' = 0,1,0,-1,0,01,01,00
19,4,2,11,"A→A,B⊣A",OO,OR,OR,A' = A | !B,B' = 0,1,0,-1,0,10,10,10
19,4,2,11,"A→A,B⊣A",OO,OR,OR,A' = A | !B,B' = 0,1,0,-1,0,11,11,10
20,4,3,12,"A⊣A,B→A",AA,AND,AND,A' = !A & B,B' = 1,-1,0,1,0,00,00,01
20,4,3,12,"A⊣A,B→A",AA,AND,AND,A' = !A & B,B' = 1,-1,0,1,0,01,11,01
20,4,3,12,"A⊣A,B→A",AA,AND,AND,A' = !A & B,B' = 1,-1,0,1,0,10,00,11
20,4,3,12,"A⊣A,B→A",AA,AND,AND,A' = !A & B,B' = 1,-1,0,1,0,11,01,11
21,4,3,12,"A⊣A,B→A",AO,AND,OR,A' = !A & B,B' = 0,-1,0,1,0,00,00,00
21,4,3,12,"A⊣A,B→A",AO,AND,OR,A' = !A & B,B' = 0,-1,0,1,0,01,11,00
21,4,3,12,"A⊣A,B→A",AO,AND,OR,A' = !A & B,B' = 0,-1,0,1,0,10,00,10
21,4,3,12,"A⊣A,B→A",AO,AND,OR,A' = !A & B,B' = 0,-1,0,1,0,11,01,10
22,4,3,12,"A⊣A,B→A",OA,OR,AND,A' = !A | B,B' = 1,-1,0,1,0,00,10,01
22,4,3,12,"A⊣A,B→A",OA,OR,AND,A' = !A | B,B' = 1,-1,0,1,0,01,11,01
22,4,3,12,"A⊣A,B→A",OA,OR,AND,A' = !A | B,B' = 1,-1,0,1,0,10,00,11
22,4,3,12,"A⊣A,B→A",OA,OR,AND,A' = !A | B,B' = 1,-1,0,1,0,11,11,11
23,4,3,12,"A⊣A,B→A",OO,OR,OR,A' = !A | B,B' = 0,-1,0,1,0,00,10,00
23,4,3,12,"A⊣A,B→A",OO,OR,OR,A' = !A | B,B' = 0,-1,0,1,0,01,11,00
23,4,3,12,"A⊣A,B→A",OO,OR,OR,A' = !A | B,B' = 0,-1,0,1,0,10,00,10
23,4,3,12,"A⊣A,B→A",OO,OR,OR,A' = !A | B,B' = 0,-1,0,1,0,11,11,10
24,4,4,13,"A⊣A,B⊣A",AA,AND,AND,A' = !A & !B,B' = 1,-1,0,-1,0,00,10,01
24,4,4,13,"A⊣A,B⊣A",AA,AND,AND,A' = !A & !B,B' = 1,-1,0,-1,0,01,01,01
24,4,4,13,"A⊣A,B⊣A",AA,AND,AND,A' = !A & !B,B' = 1,-1,0,-1,0,10,00,11
24,4,4,13,"A⊣A,B⊣A",AA,AND,AND,A' = !A & !B,B' = 1,-1,0,-1,0,11,01,11
25,4,4,13,"A⊣A,B⊣A",AO,AND,OR,A' = !A & !B,B' = 0,-1,0,-1,0,00,10,00
25,4,4,13,"A⊣A,B⊣A",AO,AND,OR,A' = !A & !B,B' = 0,-1,0,-1,0,01,01,00
25,4,4,13,"A⊣A,B⊣A",AO,AND,OR,A' = !A & !B,B' = 0,-1,0,-1,0,10,00,10
25,4,4,13,"A⊣A,B⊣A",AO,AND,OR,A' = !A & !B,B' = 0,-1,0,-1,0,11,01,10
26,4,4,13,"A⊣A,B⊣A",OA,OR,AND,A' = !A | !B,B' = 1,-1,0,-1,0,00,10,01
26,4,4,13,"A⊣A,B⊣A",OA,OR,AND,A' = !A | !B,B' = 1,-1,0,-1,0,01,11,01
26,4,4,13,"A⊣A,B⊣A",OA,OR,AND,A' = !A | !B,B' = 1,-1,0,-1,0,10,10,11
26,4,4,13,"A⊣A,B⊣A",OA,OR,AND,A' = !A | !B,B' = 1,-1,0,-1,0,11,01,11
27,4,4,13,"A⊣A,B⊣A",OO,OR,OR,A' = !A | !B,B' = 0,-1,0,-1,0,00,10,00
27,4,4,13,"A⊣A,B⊣A",OO,OR,OR,A' = !A | !B,B' = 0,-1,0,-1,0,01,11,00
27,4,4,13,"A⊣A,B⊣A",OO,OR,OR,A' = !A | !B,B' = 0,-1,0,-1,0,10,10,10
27,4,4,13,"A⊣A,B⊣A",OO,OR,OR,A' = !A | !B,B' = 0,-1,0,-1,0,11,01,10
28,5,1,14,"A→A,A→B,B→A",AA,AND,AND,A' = A & B,B' = A,1,1,1,0,00,00,00
28,5,1,14,"A→A,A→B,B→A",AA,AND,AND,A' = A & B,B' = A,1,1,1,0,01,01,00
28,5,1,14,"A→A,A→B,B→A",AA,AND,AND,A' = A & B,B' = A,1,1,1,0,10,00,11
28,5,1,14,"A→A,A→B,B→A",AA,AND,AND,A' = A & B,B' = A,1,1,1,0,11,11,11
29,5,1,14,"A→A,A→B,B→A",OA,AND,OR,A' = A | B,B' = A,1,1,1,0,00,00,00
29,5,1,14,"A→A,A→B,B→A",OA,AND,OR,A' = A | B,B' = A,1,1,1,0,01,11,00
29,5,1,14,"A→A,A→B,B→A",OA,AND,OR,A' = A | B,B' = A,1,1,1,0,10,10,11
29,5,1,14,"A→A,A→B,B→A",OA,AND,OR,A' = A | B,B' = A,1,1,1,0,11,11,11
30,5,2,15,"A→A,A→B,B⊣A",AA,AND,AND,A' = A & !B,B' = A,1,1,-1,0,00,00,00
30,5,2,15,"A→A,A→B,B⊣A",AA,AND,AND,A' = A & !B,B' = A,1,1,-1,0,01,01,00
30,5,2,15,"A→A,A→B,B⊣A",AA,AND,AND,A' = A & !B,B' = A,1,1,-1,0,10,10,11
30,5,2,15,"A→A,A→B,B⊣A",AA,AND,AND,A' = A & !B,B' = A,1,1,-1,0,11,01,11
31,5,2,15,"A→A,A→B,B⊣A",OA,AND,OR,A' = A | !B,B' = A,1,1,-1,0,00,10,00
31,5,2,15,"A→A,A→B,B⊣A",OA,AND,OR,A' = A | !B,B' = A,1,1,-1,0,01,01,00
31,5,2,15,"A→A,A→B,B⊣A",OA,AND,OR,A' = A | !B,B' = A,1,1,-1,0,10,10,11
31,5,2,15,"A→A,A→B,B⊣A",OA,AND,OR,A' = A | !B,B' = A,1,1,-1,0,11,11,11
