network_id,Number of Edges,Density,Strongly Connected,Number of SCCs,Largest SCC Size,Avg In-Degree,Avg Out-Degree,Max In-Degree,Max Out-Degree,Has Cycle,Number of Cycles,Number of Limit Cycles,Max Cycle Length,Avg Cycle Length,Shannon Entropy (Out-degree),Shannon Entropy (In-degree),Transition Entropy,Basin Entropy,Spectral Radius,Algebraic Connectivity,Number of Attractors,Number of Fixed Points,Has Fixed Point Attractor,Avg Attractor Length,Max Attractor Length,Attractor Coverage,Avg Basin Size,Max Basin Size,Basin Size Variance,Basin Size Skewness,Average Transient Length,Maximum Transient Length,Diameter,Average Shortest Path Length,Garden of Eden Count,Common Sea Count,Specific Part Count,Derrida Coefficient,Average Sensitivity
59,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,-1.0,1.1175839783194566,-0.0,0.7320508075688772,0.9999999999999997,0.0,-0.5,-1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,1.0,0.7142857142857139,-1.0,-0.5,0.5,0.0,0.0
60,-0.5,-0.5000000000000001,0.0,0.5,-1.0,-0.5,-0.5,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.8544028652134763,1.0889736868180786,0.0,-0.41421356237309537,1.0,0.5,0.0,0.0,0.0,0.0,-1.3333333333333333,-1.0,4.5,0.0,0.0,0.0,-1.0,-0.9523809523809526,1.0,-0.5,0.5,0.0,0.0
61,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.41421356237309537,2.0,1.0,0.0,0.0,0.0,0.5,-1.5555555555555554,-2.0,1.0,-0.7071067811865479,-0.3333333333333333,0.0,-1.0,-0.9523809523809526,0.0,-0.5,0.5,0.0,0.0
62,-0.5,-0.5000000000000001,0.0,0.5,-1.0,-0.5,-0.5,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.8544028652134763,1.0889736868180786,0.0,-0.41421356237309537,1.0,0.5,0.0,0.0,0.0,0.0,-1.3333333333333333,-1.0,4.5,0.0,0.0,0.0,-1.0,-0.9523809523809526,1.0,-0.5,0.5,0.0,0.0
63,-0.5,-0.5000000000000001,0.0,0.5,-1.0,-0.5,-0.5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.05722018388784843,1.0889736868180786,0.0,-0.41421356237309537,1.0,0.5,0.0,0.0,0.0,0.0,-1.3333333333333333,-1.0,4.5,0.0,0.3333333333333333,1.0,0.0,0.15873015873015814,0.0,0.0,0.0,0.0,0.0
64,-0.5,-0.5000000000000001,0.0,0.5,-1.0,-0.5,-0.5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.05722018388784843,1.0889736868180786,0.0,-0.41421356237309537,1.0,0.5,0.0,0.0,0.0,0.0,-1.3333333333333333,-1.0,4.5,0.0,0.3333333333333333,1.0,0.0,0.15873015873015814,0.0,0.0,0.0,0.0,0.0
65,-0.5,-0.5000000000000001,0.0,0.5,-1.0,-0.5,-0.5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.05722018388784843,1.0889736868180786,0.0,-0.41421356237309537,1.0,0.5,0.0,0.0,0.0,0.0,-1.3333333333333333,-1.0,4.5,0.0,0.3333333333333333,1.0,0.0,0.15873015873015814,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.41421356237309537,2.0,1.0,0.0,0.0,0.0,0.5,-1.5555555555555554,-2.0,1.0,-0.7071067811865479,-0.3333333333333333,0.0,-1.0,-0.9523809523809526,0.0,-0.5,0.5,0.0,0.0
67,-0.5,-0.5000000000000001,0.0,0.5,-1.0,-0.5,-0.5,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.8544028652134763,1.0889736868180786,0.0,-0.41421356237309537,1.0,0.5,0.0,0.0,0.0,0.0,-1.3333333333333333,-1.0,4.5,0.0,0.0,0.0,-1.0,-0.9523809523809526,1.0,-0.5,0.5,0.0,0.0
68,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.41421356237309537,2.0,1.0,0.0,0.0,0.0,0.5,-1.5555555555555554,-2.0,1.0,-0.7071067811865479,-0.3333333333333333,0.0,-1.0,-0.9523809523809526,0.0,-0.5,0.5,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0437784801966772,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,1.0,0.9523809523809518,-1.0,0.5,-0.5,0.0,0.0
70,-0.5,-0.5000000000000001,0.0,0.0,0.0,-0.5,-0.5,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,-0.05722018388784843,-0.0,0.0,-1.5700924586837762e-16,0.0,-0.5,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.9523809523809518,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0437784801966772,-0.0,0.0,-1.5700924586837762e-16,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,1.0,0.9523809523809518,-1.0,0.5,-0.5,0.0,0.0
72,-0.5,-0.5000000000000001,0.0,0.0,0.0,-0.5,-0.5,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,-0.05722018388784843,-0.0,0.0,-1.5700924586837762e-16,0.0,-0.5,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.9523809523809518,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0437784801966772,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,1.0,0.9523809523809518,-1.0,0.5,-0.5,0.0,0.0
74,-0.5,-0.5000000000000001,0.0,0.0,0.0,-0.5,-0.5,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,-0.05722018388784843,-0.0,0.0,0.0,0.0,-0.5,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.9523809523809518,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0889736868180786,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5,-1.0,-1.0,1.125,0.0,-0.3333333333333333,0.0,0.0,-0.28571428571428614,0.0,-0.5,0.5,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3939676648638247,-0.0,0.0,-1.5700924586837762e-16,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,-0.28571428571428614,0.0,0.5,-0.5,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0889736868180786,0.0,-1.5700924586837762e-16,1.0,0.0,0.0,0.5,1.0,0.5,-1.0,-1.0,1.125,0.0,-0.3333333333333333,0.0,0.0,-0.28571428571428614,0.0,-0.5,0.5,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3939676648638247,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,-0.28571428571428614,0.0,0.5,-0.5,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0889736868180786,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5,-1.0,-1.0,1.125,0.0,-0.3333333333333333,0.0,0.0,-0.28571428571428614,0.0,-0.5,0.5,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3939676648638247,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,-0.28571428571428614,0.0,0.5,-0.5,0.0,0.0
81,1.0,1.0,0.0,-0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8361785034167241,-0.0,0.41421356237309515,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.15873015873015814,-1.0,0.5,-0.5,0.0,0.0
82,0.5,0.49999999999999983,0.0,-0.5,1.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.5,1.5,0.23262290680731132,-1.0,0.16448489080324494,-0.0,0.4142135623730956,0.9999999999999997,0.0,-0.5,-1.0,2.0,2.0,0.5,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.15873015873015814,0.0,-0.5,0.5,0.0,0.0
83,1.0,1.0,0.0,-0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8361785034167241,-0.0,0.41421356237309515,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.15873015873015814,-1.0,0.5,-0.5,0.0,0.0
84,0.5,0.49999999999999983,1.0,-1.0,2.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.23262290680731132,-0.7259824578787191,1.0343002909671426,-0.0,0.5537739740300378,0.9999999999999997,0.0,-0.5,-1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,1.0,1.2698412698412695,-1.0,-0.5,0.5,0.0,0.0
85,0.5,0.49999999999999983,1.0,-1.0,2.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.23262290680731132,-0.7259824578787191,1.0343002909671426,-0.0,0.5537739740300385,0.9999999999999997,0.0,-0.5,-1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,1.0,1.2698412698412695,-1.0,-0.5,0.5,0.0,0.0
86,0.5,0.49999999999999983,1.0,-1.0,2.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.23262290680731132,-0.7259824578787191,1.0343002909671426,-0.0,0.5537739740300376,0.9999999999999997,0.0,-0.5,-1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,1.0,1.2698412698412695,-1.0,-0.5,0.5,0.0,0.0
87,0.5,0.49999999999999983,0.0,-0.5,1.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.5,1.5,0.23262290680731132,-1.0,0.16448489080324494,-0.0,0.4142135623730956,0.9999999999999997,0.0,-0.5,-1.0,2.0,2.0,0.5,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.15873015873015814,0.0,-0.5,0.5,0.0,0.0
88,1.0,1.0,0.0,-0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8361785034167241,-0.0,0.4142135623730956,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.15873015873015814,-1.0,0.5,-0.5,0.0,0.0
89,0.5,0.49999999999999983,0.0,-0.5,1.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.5,1.5,0.23262290680731132,-1.0,0.16448489080324494,-0.0,0.4142135623730956,0.9999999999999997,0.0,-0.5,-1.0,2.0,2.0,0.5,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.15873015873015814,0.0,-0.5,0.5,0.0,0.0
