network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,gate_A,gate_B,rule_A,rule_B,Number of Nodes,Number of Edges,Density,Strongly Connected,Number of SCCs,Largest SCC Size,Avg In-Degree,Avg Out-Degree,Max In-Degree,Max Out-Degree,Has Cycle,Number of Cycles,Number of Limit Cycles,Max Cycle Length,Avg Cycle Length,Shannon Entropy (Out-degree),Shannon Entropy (In-degree),Transition Entropy,Basin Entropy,Spectral Radius,Algebraic Connectivity,Number of Attractors,Number of Fixed Points,Has Fixed Point Attractor,Avg Attractor Length,Max Attractor Length,Attractor Coverage,Avg Basin Size,Max Basin Size,Basin Size Variance,Basin Size Skewness,Average Transient Length,Maximum Transient Length,Diameter,Average Shortest Path Length,Garden of Eden Count,Common Sea Count,Specific Part Count,Backward Boolean Equivalence,Derrida Coefficient,Average Sensitivity,Fixed Point Attractors,Cycle or Trap Components,Attractor Components,Basin Sizes,Attractor_Type
57,6,7,28,"A⊣A,B⊣B,A→B",OA,AND,OR,A' = !A | B,B' = !B,4,7,0.5833333333333334,1,1,4,1.75,1.75,2,2,1,1,1,4,4.0,0.8112781244591328,0.8112781244591328,1.9502120649147467,-0.0,1.7320508075688774,1.9999999999999987,1,0,0,4.0,4,1.0,4.0,4,0.0,0.0,0.0,0,3,1.5,0,0,2,0,1.0,1.0,None,"{00,01,10,11}","{00,01,10,11}",4,Cyclic / trap dominated
58,6,8,29,"A⊣A,B⊣B,A⊣B",AA,AND,AND,A' = !A & !B,B' = !B,4,7,0.5833333333333334,1,1,4,1.75,1.75,2,2,1,1,1,4,4.0,0.8112781244591328,0.8112781244591328,1.9502120649147467,-0.0,1.7320508075688767,1.9999999999999987,1,0,0,4.0,4,1.0,4.0,4,0.0,0.0,0.0,0,3,1.5,0,0,2,0,1.0,1.0,None,"{00,01,10,11}","{00,01,10,11}",4,Cyclic / trap dominated
59,6,8,29,"A⊣A,B⊣B,A⊣B",OA,AND,OR,A' = !A | !B,B' = !B,4,7,0.5833333333333334,1,1,4,1.75,1.75,2,2,1,1,1,4,4.0,0.8112781244591328,0.8112781244591328,1.9502120649147467,-0.0,1.7320508075688772,1.9999999999999987,1,0,0,4.0,4,1.0,4.0,4,0.0,0.0,0.0,0,3,1.5,0,0,2,0,1.0,1.0,None,"{00,01,10,11}","{00,01,10,11}",4,Cyclic / trap dominated
60,7,1,30,"A→A,B→B,A→B,B→A",AA,AND,AND,A' = A & B,B' = B & A,4,4,0.3333333333333333,0,4,1,1.0,1.0,3,1,0,0,0,0,0.0,-0.0,1.5,0.8112781244591328,1.0,1.0,0.0,2,2,1,1.0,1,0.5,2.0,3,1.0,0.0,0.5,1,1,1.0,2,0,2,0,1.0,1.0,00; 11,None,00; 11,3; 1,Multi-attractor fixed-point
61,7,1,30,"A→A,B→B,A→B,B→A",OA,AND,OR,A' = A | B,B' = B & A,4,5,0.4166666666666667,0,4,1,1.25,1.25,2,2,0,0,0,0,0.0,0.8112781244591328,1.5,1.5219280948873621,0.9182958340544896,1.0,3.960290235698816e-17,3,3,1,1.0,1,0.75,1.6666666666666667,2,0.2222222222222222,-0.7071067811865479,0.25,1,1,1.0,1,0,2,0,1.0,1.0,00; 10; 11,None,00; 10; 11,2; 1; 2,Multi-attractor fixed-point
62,7,1,30,"A→A,B→B,A→B,B→A",OO,OR,OR,A' = A | B,B' = B | A,4,4,0.3333333333333333,0,4,1,1.0,1.0,3,1,0,0,0,0,0.0,-0.0,1.5,0.8112781244591328,1.0,1.0,3.960290235698816e-17,2,2,1,1.0,1,0.5,2.0,3,1.0,0.0,0.5,1,1,1.0,2,0,2,0,1.0,1.0,00; 11,None,00; 11,1; 3,Multi-attractor fixed-point
63,7,2,31,"A→A,B→B,A→B,B⊣A",AA,AND,AND,A' = A & !B,B' = B & A,4,4,0.3333333333333333,0,4,1,1.0,1.0,2,1,0,0,0,0,0.0,-0.0,1.5,1.5,1.0,1.0,3.960290235698816e-17,2,2,1,1.0,1,0.5,2.0,3,1.0,0.0,0.75,2,2,1.3333333333333333,1,1,1,0,1.0,1.0,00; 10,None,00; 10,3; 1,Multi-attractor fixed-point
64,7,2,31,"A→A,B→B,A→B,B⊣A",OA,AND,OR,A' = A | !B,B' = B & A,4,4,0.3333333333333333,0,4,1,1.0,1.0,2,1,0,0,0,0,0.0,-0.0,1.5,1.5,1.0,1.0,0.0,2,2,1,1.0,1,0.5,2.0,3,1.0,0.0,0.75,2,2,1.3333333333333333,1,1,1,0,1.0,1.0,10; 11,None,10; 11,3; 1,Multi-attractor fixed-point
65,7,2,31,"A→A,B→B,A→B,B⊣A",OO,OR,OR,A' = A | !B,B' = B | A,4,4,0.3333333333333333,0,4,1,1.0,1.0,2,1,0,0,0,0,0.0,-0.0,1.5,1.5,1.0,1.0,3.960290235698816e-17,2,2,1,1.0,1,0.5,2.0,3,1.0,0.0,0.75,2,2,1.3333333333333333,1,1,1,0,1.0,1.0,01; 11,None,01; 11,1; 3,Multi-attractor fixed-point
66,7,3,32,"A→A,B→B,A⊣B,B⊣A",AA,AND,AND,A' = A & !B,B' = B & !A,4,5,0.4166666666666667,0,4,1,1.25,1.25,2,2,0,0,0,0,0.0,0.8112781244591328,1.5,1.5219280948873621,0.9182958340544896,1.0,3.960290235698816e-17,3,3,1,1.0,1,0.75,1.6666666666666667,2,0.2222222222222222,-0.7071067811865479,0.25,1,1,1.0,1,0,2,0,1.0,1.0,00; 01; 10,None,00; 01; 10,1; 2; 2,Multi-attractor fixed-point
67,7,3,32,"A→A,B→B,A⊣B,B⊣A",OA,AND,OR,A' = A | !B,B' = B & !A,4,4,0.3333333333333333,0,4,1,1.0,1.0,3,1,0,0,0,0,0.0,-0.0,1.5,0.8112781244591328,1.0,1.0,3.960290235698816e-17,2,2,1,1.0,1,0.5,2.0,3,1.0,0.0,0.5,1,1,1.0,2,0,2,0,1.0,1.0,01; 10,None,01; 10,1; 3,Multi-attractor fixed-point
68,7,3,32,"A→A,B→B,A⊣B,B⊣A",OO,OR,OR,A' = A | !B,B' = B | !A,4,5,0.4166666666666667,0,4,1,1.25,1.25,2,2,0,0,0,0,0.0,0.8112781244591328,1.5,1.5219280948873621,0.9182958340544896,1.0,0.0,3,3,1,1.0,1,0.75,1.6666666666666667,2,0.2222222222222222,-0.7071067811865479,0.25,1,1,1.0,1,0,2,0,1.0,1.0,01; 10; 11,None,01; 10; 11,2; 2; 1,Multi-attractor fixed-point
69,7,4,33,"A→A,B⊣B,A→B,B⊣A",AA,AND,AND,A' = A & !B,B' = !B & A,4,5,0.4166666666666667,0,3,2,1.25,1.25,2,2,0,0,0,0,0.0,0.8112781244591328,0.8112781244591328,1.9219280948873623,-0.0,1.0,0.585786437626905,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.5,3,3,1.5714285714285714,0,2,0,0,1.0,1.0,00,None,00,4,Single fixed point
70,7,4,33,"A→A,B⊣B,A→B,B⊣A",OA,AND,OR,A' = A | !B,B' = !B & A,4,4,0.3333333333333333,0,3,2,1.0,1.0,2,1,1,1,1,2,2.0,-0.0,1.5,1.5,-0.0,1.0,0.5857864376269047,1,0,0,2.0,2,0.5,4.0,4,0.0,0.0,0.75,2,3,1.5714285714285714,1,1,1,0,1.0,1.0,None,"{10,11}","{10,11}",4,Cyclic / trap dominated
71,7,4,33,"A→A,B⊣B,A→B,B⊣A",OO,OR,OR,A' = A | !B,B' = !B | A,4,5,0.4166666666666667,0,3,2,1.25,1.25,2,2,0,0,0,0,0.0,0.8112781244591328,0.8112781244591328,1.9219280948873623,-0.0,1.0,0.5857864376269047,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.5,3,3,1.5714285714285714,0,2,0,0,1.0,1.0,11,None,11,4,Single fixed point
72,7,5,34,"A→A,B⊣B,A⊣B,B→A",AA,AND,AND,A' = A & B,B' = !B & !A,4,4,0.3333333333333333,0,3,2,1.0,1.0,2,1,1,1,1,2,2.0,-0.0,1.5,1.5,-0.0,1.0,0.5857864376269047,1,0,0,2.0,2,0.5,4.0,4,0.0,0.0,0.75,2,3,1.5714285714285714,1,1,1,0,1.0,1.0,None,"{00,01}","{00,01}",4,Cyclic / trap dominated
73,7,5,34,"A→A,B⊣B,A⊣B,B→A",OA,AND,OR,A' = A | B,B' = !B & !A,4,5,0.4166666666666667,0,3,2,1.25,1.25,2,2,0,0,0,0,0.0,0.8112781244591328,0.8112781244591328,1.9219280948873623,-0.0,1.0,0.585786437626905,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.5,3,3,1.5714285714285714,0,2,0,0,1.0,1.0,10,None,10,4,Single fixed point
74,7,5,34,"A→A,B⊣B,A⊣B,B→A",OO,OR,OR,A' = A | B,B' = !B | !A,4,4,0.3333333333333333,0,3,2,1.0,1.0,2,1,1,1,1,2,2.0,-0.0,1.5,1.5,-0.0,1.0,0.585786437626905,1,0,0,2.0,2,0.5,4.0,4,0.0,0.0,0.75,2,3,1.5714285714285714,1,1,1,0,1.0,1.0,None,"{10,11}","{10,11}",4,Cyclic / trap dominated
75,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",AA,AND,AND,A' = A & !B,B' = !B & !A,4,5,0.4166666666666667,0,3,2,1.25,1.25,2,2,1,1,1,2,2.0,0.8112781244591328,1.5,1.5219280948873621,1.0,1.0,0.585786437626905,2,1,1,1.5,2,0.75,2.5,3,0.25,0.0,0.25,1,2,1.2,1,0,2,0,1.0,1.0,10,"{00,01}","10; {00,01}",2; 3,Mixed fixed + trap
76,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",OA,AND,OR,A' = A | !B,B' = !B & !A,4,5,0.4166666666666667,0,3,2,1.25,1.25,3,2,0,0,0,0,0.0,0.8112781244591328,1.5,1.3709505944546687,-0.0,1.0,0.5857864376269047,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.0,2,2,1.2,1,2,0,0,1.0,1.0,10,None,10,4,Single fixed point
77,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",OO,OR,OR,A' = A | !B,B' = !B | !A,4,5,0.4166666666666667,0,3,2,1.25,1.25,2,2,1,1,1,2,2.0,0.8112781244591328,1.5,1.5219280948873621,1.0,1.0,0.5857864376269047,2,1,1,1.5,2,0.75,2.5,3,0.25,0.0,0.25,1,2,1.2,1,0,2,0,1.0,1.0,01,"{10,11}","01; {10,11}",2; 3,Mixed fixed + trap
78,7,7,36,"A⊣A,B→B,A→B,B→A",AA,AND,AND,A' = !A & B,B' = B & A,4,5,0.4166666666666667,0,3,2,1.25,1.25,3,2,0,0,0,0,0.0,0.8112781244591328,1.5,1.3709505944546687,-0.0,1.0,0.585786437626905,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.0,2,2,1.2,1,2,0,0,1.0,1.0,00,None,00,4,Single fixed point
79,7,7,36,"A⊣A,B→B,A→B,B→A",OA,AND,OR,A' = !A | B,B' = B & A,4,5,0.4166666666666667,0,3,2,1.25,1.25,2,2,1,1,1,2,2.0,0.8112781244591328,1.5,1.5219280948873621,1.0,1.0,0.585786437626905,2,1,1,1.5,2,0.75,2.5,3,0.25,0.0,0.25,1,2,1.2,1,0,2,0,1.0,1.0,11,"{00,10}","11; {00,10}",2; 3,Mixed fixed + trap
80,7,7,36,"A⊣A,B→B,A→B,B→A",OO,OR,OR,A' = !A | B,B' = B | A,4,5,0.4166666666666667,0,3,2,1.25,1.25,3,2,0,0,0,0,0.0,0.8112781244591328,1.5,1.3709505944546687,-0.0,1.0,0.585786437626905,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.0,2,2,1.2,1,2,0,0,1.0,1.0,11,None,11,4,Single fixed point
81,7,8,37,"A⊣A,B⊣B,A→B,B→A",AA,AND,AND,A' = !A & B,B' = !B & A,4,7,0.5833333333333334,0,2,3,1.75,1.75,3,2,0,0,0,0,0.0,0.8112781244591328,1.5,1.8423709931771084,-0.0,1.4142135623730951,1.9999999999999987,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.0,2,2,1.3333333333333333,0,2,0,0,1.0,1.0,00,None,00,4,Single fixed point
82,7,8,37,"A⊣A,B⊣B,A→B,B→A",OA,AND,OR,A' = !A | B,B' = !B & A,4,6,0.5,0,2,3,1.5,1.5,2,2,1,1,1,3,3.0,1.0,0.8112781244591328,1.584962500721156,-0.0,1.4142135623730956,1.9999999999999987,1,0,0,3.0,3,0.75,4.0,4,0.0,0.0,0.25,1,2,1.3333333333333333,1,0,2,0,1.0,1.0,None,"{00,10,11}","{00,10,11}",4,Cyclic / trap dominated
83,7,8,37,"A⊣A,B⊣B,A→B,B→A",OO,OR,OR,A' = !A | B,B' = !B | A,4,7,0.5833333333333334,0,2,3,1.75,1.75,3,2,0,0,0,0,0.0,0.8112781244591328,1.5,1.8423709931771084,-0.0,1.4142135623730951,1.9999999999999987,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.0,2,2,1.3333333333333333,0,2,0,0,1.0,1.0,11,None,11,4,Single fixed point
84,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",AA,AND,AND,A' = !A & !B,B' = !B & A,4,6,0.5,1,1,4,1.5,1.5,2,2,1,1,1,4,4.0,1.0,1.0,1.9182958340544896,-0.0,1.5537739740300378,1.9999999999999987,1,0,0,4.0,4,1.0,4.0,4,0.0,0.0,0.0,0,3,1.6666666666666667,0,0,2,0,1.0,1.0,None,"{00,01,10,11}","{00,01,10,11}",4,Cyclic / trap dominated
85,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",OA,AND,OR,A' = !A | !B,B' = !B & A,4,6,0.5,1,1,4,1.5,1.5,2,2,1,1,1,4,4.0,1.0,1.0,1.9182958340544896,-0.0,1.5537739740300385,1.9999999999999987,1,0,0,4.0,4,1.0,4.0,4,0.0,0.0,0.0,0,3,1.6666666666666667,0,0,2,0,1.0,1.0,None,"{00,01,10,11}","{00,01,10,11}",4,Cyclic / trap dominated
86,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",OO,OR,OR,A' = !A | !B,B' = !B | A,4,6,0.5,1,1,4,1.5,1.5,2,2,1,1,1,4,4.0,1.0,1.0,1.9182958340544896,-0.0,1.5537739740300376,1.9999999999999987,1,0,0,4.0,4,1.0,4.0,4,0.0,0.0,0.0,0,3,1.6666666666666667,0,0,2,0,1.0,1.0,None,"{00,01,10,11}","{00,01,10,11}",4,Cyclic / trap dominated
87,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",AA,AND,AND,A' = !A & !B,B' = !B & !A,4,6,0.5,0,2,3,1.5,1.5,2,2,1,1,1,3,3.0,1.0,0.8112781244591328,1.584962500721156,-0.0,1.4142135623730956,1.9999999999999987,1,0,0,3.0,3,0.75,4.0,4,0.0,0.0,0.25,1,2,1.3333333333333333,1,0,2,0,1.0,1.0,None,"{00,01,10}","{00,01,10}",4,Cyclic / trap dominated
88,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",OA,AND,OR,A' = !A | !B,B' = !B & !A,4,7,0.5833333333333334,0,2,3,1.75,1.75,3,2,0,0,0,0,0.0,0.8112781244591328,1.5,1.8423709931771084,-0.0,1.4142135623730956,1.9999999999999987,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.0,2,2,1.3333333333333333,0,2,0,0,1.0,1.0,10,None,10,4,Single fixed point
89,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",OO,OR,OR,A' = !A | !B,B' = !B | !A,4,6,0.5,0,2,3,1.5,1.5,2,2,1,1,1,3,3.0,1.0,0.8112781244591328,1.584962500721156,-0.0,1.4142135623730956,1.9999999999999987,1,0,0,3.0,3,0.75,4.0,4,0.0,0.0,0.25,1,2,1.3333333333333333,1,0,2,0,1.0,1.0,None,"{01,10,11}","{01,10,11}",4,Cyclic / trap dominated
