network_id,Cluster,PCA_1,PCA_2,TSNE_1,TSNE_2,UMAP_1,UMAP_2
1,Cluster_4,-1.5163495019729671,2.0174575890040556,287.22458,257.15967,12.968572,6.6642556
2,Cluster_4,-1.5163495019729638,2.017457589004049,287.22458,257.15967,13.164491,7.140761
3,Cluster_4,-1.516349501972959,2.017457589004051,287.22458,257.15967,13.619,7.168378
4,Cluster_4,-1.5163495019729634,2.0174575890040507,287.22458,257.15967,13.38424,7.0008316
5,Cluster_1,-2.0697381195034334,-0.3126346582994286,-189.31088,495.31116,4.1636076,-2.5294375
6,Cluster_2,5.649737069371764,-1.2590673334724112,-251.23082,-610.2728,-0.76355535,15.662988
7,Cluster_1,-2.069738119503433,-0.3126346582994296,-189.31088,495.31116,4.254143,-2.5548294
8,Cluster_1,-2.8679202387225313,-1.5924793707663223,-374.20804,448.79468,3.7650218,-2.323313
9,Cluster_1,-2.8679202387225313,-1.5924793707663214,-374.20804,448.79468,3.601351,-2.2725697
10,Cluster_2,5.624012884169826,-0.8823552415166938,-229.5111,-471.50882,-0.15444364,15.424155
11,Cluster_2,5.624012884169828,-0.8823552415166935,-229.5111,-471.50882,-0.18175913,15.526174
12,Cluster_1,-1.9389917934459249,-0.5591533233169024,-131.92322,219.72115,4.217965,-1.5553222
13,Cluster_4,-2.50001753813805,1.2725153520884689,106.98396,270.97992,13.180726,6.8569484
14,Cluster_4,-2.5000175381380503,1.2725153520884696,106.98396,270.97992,13.134403,7.2021894
15,Cluster_1,-1.9389917934459249,-0.5591533233169027,-131.92322,219.72115,4.3434043,-1.559701
16,Cluster_4,-2.5000175381380503,1.2725153520884693,106.98396,270.97992,13.519905,7.376163
17,Cluster_1,-1.9389917934459244,-0.5591533233169015,-131.92322,219.72115,4.5922613,-1.7225499
18,Cluster_1,-1.938991793445927,-0.5591533233169078,-131.92322,219.72115,4.5137925,-1.8813167
19,Cluster_4,-2.50001753813805,1.272515352088469,106.98396,270.97992,13.187075,7.2812614
20,Cluster_3,1.1958754120086421,0.25847454852322493,-73.237785,-150.63283,6.517118,-1.1330044
21,Cluster_4,-0.40492104165433845,2.366114464093771,393.5423,19.88521,13.355612,5.6244555
22,Cluster_4,-0.4049210416543387,2.3661144640937697,393.5423,19.88521,13.168018,5.7217736
23,Cluster_3,1.1958754120086417,0.2584745485232248,-73.237785,-150.63283,6.647128,-1.297855
24,Cluster_4,-0.40492104165433856,2.3661144640937697,393.5423,19.88521,13.29063,5.7382727
25,Cluster_3,1.1958754120086414,0.25847454852322443,-73.237785,-150.63283,6.7039146,-1.3987771
26,Cluster_3,1.195875412008642,0.2584745485232245,-73.237785,-150.63283,6.3786855,-1.555359
