network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,rule_A,rule_B,from_state,to_state,update_scheme,selected_node,is_self_loop
66,7,3,32,"A→A,B→B,A⊣B,B⊣A",AA,A' = A & !B,B' = B & !A,01,01,sync,A+B,1
66,7,3,32,"A→A,B→B,A⊣B,B⊣A",AA,A' = A & !B,B' = B & !A,10,10,sync,A+B,1
66,7,3,32,"A→A,B→B,A⊣B,B⊣A",AA,A' = A & !B,B' = B & !A,11,00,sync,A+B,0
67,7,3,32,"A→A,B→B,A⊣B,B⊣A",OA,A' = A | !B,B' = B & !A,00,10,sync,A+B,0
67,7,3,32,"A→A,B→B,A⊣B,B⊣A",OA,A' = A | !B,B' = B & !A,01,01,sync,A+B,1
67,7,3,32,"A→A,B→B,A⊣B,B⊣A",OA,A' = A | !B,B' = B & !A,10,10,sync,A+B,1
67,7,3,32,"A→A,B→B,A⊣B,B⊣A",OA,A' = A | !B,B' = B & !A,11,10,sync,A+B,0
68,7,3,32,"A→A,B→B,A⊣B,B⊣A",OO,A' = A | !B,B' = B | !A,00,11,sync,A+B,0
68,7,3,32,"A→A,B→B,A⊣B,B⊣A",OO,A' = A | !B,B' = B | !A,01,01,sync,A+B,1
68,7,3,32,"A→A,B→B,A⊣B,B⊣A",OO,A' = A | !B,B' = B | !A,10,10,sync,A+B,1
68,7,3,32,"A→A,B→B,A⊣B,B⊣A",OO,A' = A | !B,B' = B | !A,11,11,sync,A+B,1
69,7,4,33,"A→A,B⊣B,A→B,B⊣A",AA,A' = A & !B,B' = !B & A,00,00,sync,A+B,1
69,7,4,33,"A→A,B⊣B,A→B,B⊣A",AA,A' = A & !B,B' = !B & A,01,00,sync,A+B,0
69,7,4,33,"A→A,B⊣B,A→B,B⊣A",AA,A' = A & !B,B' = !B & A,10,11,sync,A+B,0
69,7,4,33,"A→A,B⊣B,A→B,B⊣A",AA,A' = A & !B,B' = !B & A,11,00,sync,A+B,0
70,7,4,33,"A→A,B⊣B,A→B,B⊣A",OA,A' = A | !B,B' = !B & A,00,10,sync,A+B,0
70,7,4,33,"A→A,B⊣B,A→B,B⊣A",OA,A' = A | !B,B' = !B & A,01,00,sync,A+B,0
70,7,4,33,"A→A,B⊣B,A→B,B⊣A",OA,A' = A | !B,B' = !B & A,10,11,sync,A+B,0
70,7,4,33,"A→A,B⊣B,A→B,B⊣A",OA,A' = A | !B,B' = !B & A,11,10,sync,A+B,0
71,7,4,33,"A→A,B⊣B,A→B,B⊣A",OO,A' = A | !B,B' = !B | A,00,11,sync,A+B,0
71,7,4,33,"A→A,B⊣B,A→B,B⊣A",OO,A' = A | !B,B' = !B | A,01,00,sync,A+B,0
71,7,4,33,"A→A,B⊣B,A→B,B⊣A",OO,A' = A | !B,B' = !B | A,10,11,sync,A+B,0
71,7,4,33,"A→A,B⊣B,A→B,B⊣A",OO,A' = A | !B,B' = !B | A,11,11,sync,A+B,1
72,7,5,34,"A→A,B⊣B,A⊣B,B→A",AA,A' = A & B,B' = !B & !A,00,01,sync,A+B,0
72,7,5,34,"A→A,B⊣B,A⊣B,B→A",AA,A' = A & B,B' = !B & !A,01,00,sync,A+B,0
72,7,5,34,"A→A,B⊣B,A⊣B,B→A",AA,A' = A & B,B' = !B & !A,10,00,sync,A+B,0
72,7,5,34,"A→A,B⊣B,A⊣B,B→A",AA,A' = A & B,B' = !B & !A,11,10,sync,A+B,0
73,7,5,34,"A→A,B⊣B,A⊣B,B→A",OA,A' = A | B,B' = !B & !A,00,01,sync,A+B,0
73,7,5,34,"A→A,B⊣B,A⊣B,B→A",OA,A' = A | B,B' = !B & !A,01,10,sync,A+B,0
73,7,5,34,"A→A,B⊣B,A⊣B,B→A",OA,A' = A | B,B' = !B & !A,10,10,sync,A+B,1
73,7,5,34,"A→A,B⊣B,A⊣B,B→A",OA,A' = A | B,B' = !B & !A,11,10,sync,A+B,0
74,7,5,34,"A→A,B⊣B,A⊣B,B→A",OO,A' = A | B,B' = !B | !A,00,01,sync,A+B,0
74,7,5,34,"A→A,B⊣B,A⊣B,B→A",OO,A' = A | B,B' = !B | !A,01,11,sync,A+B,0
74,7,5,34,"A→A,B⊣B,A⊣B,B→A",OO,A' = A | B,B' = !B | !A,10,11,sync,A+B,0
74,7,5,34,"A→A,B⊣B,A⊣B,B→A",OO,A' = A | B,B' = !B | !A,11,10,sync,A+B,0
75,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",AA,A' = A & !B,B' = !B & !A,00,01,sync,A+B,0
75,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",AA,A' = A & !B,B' = !B & !A,01,00,sync,A+B,0
75,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",AA,A' = A & !B,B' = !B & !A,10,10,sync,A+B,1
75,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",AA,A' = A & !B,B' = !B & !A,11,00,sync,A+B,0
76,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",OA,A' = A | !B,B' = !B & !A,00,11,sync,A+B,0
76,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",OA,A' = A | !B,B' = !B & !A,01,00,sync,A+B,0
76,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",OA,A' = A | !B,B' = !B & !A,10,10,sync,A+B,1
76,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",OA,A' = A | !B,B' = !B & !A,11,10,sync,A+B,0
77,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",OO,A' = A | !B,B' = !B | !A,00,11,sync,A+B,0
77,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",OO,A' = A | !B,B' = !B | !A,01,01,sync,A+B,1
77,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",OO,A' = A | !B,B' = !B | !A,10,11,sync,A+B,0
77,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",OO,A' = A | !B,B' = !B | !A,11,10,sync,A+B,0
78,7,7,36,"A⊣A,B→B,A→B,B→A",AA,A' = !A & B,B' = B & A,00,00,sync,A+B,1
78,7,7,36,"A⊣A,B→B,A→B,B→A",AA,A' = !A & B,B' = B & A,01,10,sync,A+B,0
78,7,7,36,"A⊣A,B→B,A→B,B→A",AA,A' = !A & B,B' = B & A,10,00,sync,A+B,0
78,7,7,36,"A⊣A,B→B,A→B,B→A",AA,A' = !A & B,B' = B & A,11,01,sync,A+B,0
79,7,7,36,"A⊣A,B→B,A→B,B→A",OA,A' = !A | B,B' = B & A,00,10,sync,A+B,0
79,7,7,36,"A⊣A,B→B,A→B,B→A",OA,A' = !A | B,B' = B & A,01,10,sync,A+B,0
79,7,7,36,"A⊣A,B→B,A→B,B→A",OA,A' = !A | B,B' = B & A,10,00,sync,A+B,0
79,7,7,36,"A⊣A,B→B,A→B,B→A",OA,A' = !A | B,B' = B & A,11,11,sync,A+B,1
80,7,7,36,"A⊣A,B→B,A→B,B→A",OO,A' = !A | B,B' = B | A,00,10,sync,A+B,0
80,7,7,36,"A⊣A,B→B,A→B,B→A",OO,A' = !A | B,B' = B | A,01,11,sync,A+B,0
80,7,7,36,"A⊣A,B→B,A→B,B→A",OO,A' = !A | B,B' = B | A,10,01,sync,A+B,0
80,7,7,36,"A⊣A,B→B,A→B,B→A",OO,A' = !A | B,B' = B | A,11,11,sync,A+B,1
81,7,8,37,"A⊣A,B⊣B,A→B,B→A",AA,A' = !A & B,B' = !B & A,00,00,sync,A+B,1
81,7,8,37,"A⊣A,B⊣B,A→B,B→A",AA,A' = !A & B,B' = !B & A,01,10,sync,A+B,0
81,7,8,37,"A⊣A,B⊣B,A→B,B→A",AA,A' = !A & B,B' = !B & A,10,01,sync,A+B,0
81,7,8,37,"A⊣A,B⊣B,A→B,B→A",AA,A' = !A & B,B' = !B & A,11,00,sync,A+B,0
82,7,8,37,"A⊣A,B⊣B,A→B,B→A",OA,A' = !A | B,B' = !B & A,00,10,sync,A+B,0
82,7,8,37,"A⊣A,B⊣B,A→B,B→A",OA,A' = !A | B,B' = !B & A,01,10,sync,A+B,0
82,7,8,37,"A⊣A,B⊣B,A→B,B→A",OA,A' = !A | B,B' = !B & A,10,01,sync,A+B,0
82,7,8,37,"A⊣A,B⊣B,A→B,B→A",OA,A' = !A | B,B' = !B & A,11,10,sync,A+B,0
83,7,8,37,"A⊣A,B⊣B,A→B,B→A",OO,A' = !A | B,B' = !B | A,00,11,sync,A+B,0
83,7,8,37,"A⊣A,B⊣B,A→B,B→A",OO,A' = !A | B,B' = !B | A,01,10,sync,A+B,0
83,7,8,37,"A⊣A,B⊣B,A→B,B→A",OO,A' = !A | B,B' = !B | A,10,01,sync,A+B,0
83,7,8,37,"A⊣A,B⊣B,A→B,B→A",OO,A' = !A | B,B' = !B | A,11,11,sync,A+B,1
84,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",AA,A' = !A & !B,B' = !B & A,00,10,sync,A+B,0
84,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",AA,A' = !A & !B,B' = !B & A,01,00,sync,A+B,0
84,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",AA,A' = !A & !B,B' = !B & A,10,01,sync,A+B,0
84,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",AA,A' = !A & !B,B' = !B & A,11,00,sync,A+B,0
85,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",OA,A' = !A | !B,B' = !B & A,00,10,sync,A+B,0
85,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",OA,A' = !A | !B,B' = !B & A,01,10,sync,A+B,0
85,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",OA,A' = !A | !B,B' = !B & A,10,11,sync,A+B,0
85,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",OA,A' = !A | !B,B' = !B & A,11,00,sync,A+B,0
86,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",OO,A' = !A | !B,B' = !B | A,00,11,sync,A+B,0
86,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",OO,A' = !A | !B,B' = !B | A,01,10,sync,A+B,0
86,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",OO,A' = !A | !B,B' = !B | A,10,11,sync,A+B,0
86,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",OO,A' = !A | !B,B' = !B | A,11,01,sync,A+B,0
87,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",AA,A' = !A & !B,B' = !B & !A,00,11,sync,A+B,0
87,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",AA,A' = !A & !B,B' = !B & !A,01,00,sync,A+B,0
87,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",AA,A' = !A & !B,B' = !B & !A,10,00,sync,A+B,0
87,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",AA,A' = !A & !B,B' = !B & !A,11,00,sync,A+B,0
88,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",OA,A' = !A | !B,B' = !B & !A,00,11,sync,A+B,0
88,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",OA,A' = !A | !B,B' = !B & !A,01,10,sync,A+B,0
88,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",OA,A' = !A | !B,B' = !B & !A,10,10,sync,A+B,1
88,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",OA,A' = !A | !B,B' = !B & !A,11,00,sync,A+B,0
89,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",OO,A' = !A | !B,B' = !B | !A,00,11,sync,A+B,0
89,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",OO,A' = !A | !B,B' = !B | !A,01,11,sync,A+B,0
89,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",OO,A' = !A | !B,B' = !B | !A,10,11,sync,A+B,0
89,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",OO,A' = !A | !B,B' = !B | !A,11,00,sync,A+B,0
