network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,rule_A,rule_B,from_state,to_state,update_scheme,selected_node,is_self_loop
18,4,2,11,"A→A,B⊣A",OA,A' = A | !B,B' = 1,01,01,sync,A+B,1
18,4,2,11,"A→A,B⊣A",OA,A' = A | !B,B' = 1,10,11,sync,A+B,0
18,4,2,11,"A→A,B⊣A",OA,A' = A | !B,B' = 1,11,11,sync,A+B,1
19,4,2,11,"A→A,B⊣A",OO,A' = A | !B,B' = 0,00,10,sync,A+B,0
19,4,2,11,"A→A,B⊣A",OO,A' = A | !B,B' = 0,01,00,sync,A+B,0
19,4,2,11,"A→A,B⊣A",OO,A' = A | !B,B' = 0,10,10,sync,A+B,1
19,4,2,11,"A→A,B⊣A",OO,A' = A | !B,B' = 0,11,10,sync,A+B,0
20,4,3,12,"A⊣A,B→A",AA,A' = !A & B,B' = 1,00,01,sync,A+B,0
20,4,3,12,"A⊣A,B→A",AA,A' = !A & B,B' = 1,01,11,sync,A+B,0
20,4,3,12,"A⊣A,B→A",AA,A' = !A & B,B' = 1,10,01,sync,A+B,0
20,4,3,12,"A⊣A,B→A",AA,A' = !A & B,B' = 1,11,01,sync,A+B,0
21,4,3,12,"A⊣A,B→A",AO,A' = !A & B,B' = 0,00,00,sync,A+B,1
21,4,3,12,"A⊣A,B→A",AO,A' = !A & B,B' = 0,01,10,sync,A+B,0
21,4,3,12,"A⊣A,B→A",AO,A' = !A & B,B' = 0,10,00,sync,A+B,0
21,4,3,12,"A⊣A,B→A",AO,A' = !A & B,B' = 0,11,00,sync,A+B,0
22,4,3,12,"A⊣A,B→A",OA,A' = !A | B,B' = 1,00,11,sync,A+B,0
22,4,3,12,"A⊣A,B→A",OA,A' = !A | B,B' = 1,01,11,sync,A+B,0
22,4,3,12,"A⊣A,B→A",OA,A' = !A | B,B' = 1,10,01,sync,A+B,0
22,4,3,12,"A⊣A,B→A",OA,A' = !A | B,B' = 1,11,11,sync,A+B,1
23,4,3,12,"A⊣A,B→A",OO,A' = !A | B,B' = 0,00,10,sync,A+B,0
23,4,3,12,"A⊣A,B→A",OO,A' = !A | B,B' = 0,01,10,sync,A+B,0
23,4,3,12,"A⊣A,B→A",OO,A' = !A | B,B' = 0,10,00,sync,A+B,0
23,4,3,12,"A⊣A,B→A",OO,A' = !A | B,B' = 0,11,10,sync,A+B,0
24,4,4,13,"A⊣A,B⊣A",AA,A' = !A & !B,B' = 1,00,11,sync,A+B,0
24,4,4,13,"A⊣A,B⊣A",AA,A' = !A & !B,B' = 1,01,01,sync,A+B,1
24,4,4,13,"A⊣A,B⊣A",AA,A' = !A & !B,B' = 1,10,01,sync,A+B,0
24,4,4,13,"A⊣A,B⊣A",AA,A' = !A & !B,B' = 1,11,01,sync,A+B,0
25,4,4,13,"A⊣A,B⊣A",AO,A' = !A & !B,B' = 0,00,10,sync,A+B,0
25,4,4,13,"A⊣A,B⊣A",AO,A' = !A & !B,B' = 0,01,00,sync,A+B,0
25,4,4,13,"A⊣A,B⊣A",AO,A' = !A & !B,B' = 0,10,00,sync,A+B,0
25,4,4,13,"A⊣A,B⊣A",AO,A' = !A & !B,B' = 0,11,00,sync,A+B,0
26,4,4,13,"A⊣A,B⊣A",OA,A' = !A | !B,B' = 1,00,11,sync,A+B,0
26,4,4,13,"A⊣A,B⊣A",OA,A' = !A | !B,B' = 1,01,11,sync,A+B,0
26,4,4,13,"A⊣A,B⊣A",OA,A' = !A | !B,B' = 1,10,11,sync,A+B,0
26,4,4,13,"A⊣A,B⊣A",OA,A' = !A | !B,B' = 1,11,01,sync,A+B,0
27,4,4,13,"A⊣A,B⊣A",OO,A' = !A | !B,B' = 0,00,10,sync,A+B,0
27,4,4,13,"A⊣A,B⊣A",OO,A' = !A | !B,B' = 0,01,10,sync,A+B,0
27,4,4,13,"A⊣A,B⊣A",OO,A' = !A | !B,B' = 0,10,10,sync,A+B,1
27,4,4,13,"A⊣A,B⊣A",OO,A' = !A | !B,B' = 0,11,00,sync,A+B,0
28,5,1,14,"A→A,A→B,B→A",AA,A' = A & B,B' = A,00,00,sync,A+B,1
28,5,1,14,"A→A,A→B,B→A",AA,A' = A & B,B' = A,01,00,sync,A+B,0
28,5,1,14,"A→A,A→B,B→A",AA,A' = A & B,B' = A,10,01,sync,A+B,0
